,_time,chainName,activeValidators,apr,blockHeight,blockTime,bondedTokens,communityTokens,inflation,jailedValidators,supplyTokens,totalValidators,tps,txs
136,2023-01-28 00:00:00+00:00,cosmos,175,0.211248488,13840922,6.4691015,204099000000000.0,1869850000000.0,0.146857891,327,326208000000000.0,502,0.446114514,29178053
137,2023-01-28 01:00:00+00:00,cosmos,175,0.211256726,13841464,6.4813031,204106000000000.0,1870450000000.0,0.14686616,327,326214000000000.0,502,0.535770564,29179966
138,2023-01-28 02:00:00+00:00,cosmos,175,0.211274218,13842003,6.4974896,204105000000000.0,1871050000000.0,0.146874369,327,326220000000000.0,502,0.428517014,29181552
139,2023-01-28 03:00:00+00:00,cosmos,175,0.211310588,13842538,6.5135207,204082000000000.0,1871540000000.0,0.146881189,327,326225000000000.0,502,0.620914469,29183469
140,2023-01-28 04:00:00+00:00,cosmos,175,0.211316333,13843081,6.5220075,204092000000000.0,1872140000000.0,0.146889474,327,326231000000000.0,502,0.660789121,29185457
141,2023-01-28 05:00:00+00:00,cosmos,175,0.211329109,13843628,6.5299466,204095000000000.0,1872750000000.0,0.146897848,327,326237000000000.0,502,0.559342772,29187656
142,2023-01-28 06:00:00+00:00,cosmos,175,0.211341622,13844174,6.5399707,204098000000000.0,1873350000000.0,0.146906207,327,326243000000000.0,502,0.719178082,29190134
143,2023-01-28 07:00:00+00:00,cosmos,175,0.211352881,13844719,6.552521,204103000000000.0,1873950000000.0,0.146914521,327,326249000000000.0,502,0.64638027,29192347
144,2023-01-28 08:00:00+00:00,cosmos,175,0.211367179,13845259,6.5659909,204104000000000.0,1874550000000.0,0.14692282,327,326255000000000.0,502,0.518680877,29194193
145,2023-01-28 09:00:00+00:00,cosmos,175,0.211379655,13845806,6.5766857,204107000000000.0,1875150000000.0,0.14693112,327,326261000000000.0,502,0.49368269,29195993
146,2023-01-28 10:00:00+00:00,cosmos,175,0.211395058,13846351,6.5838505,204108000000000.0,1875760000000.0,0.146939482,327,326267000000000.0,502,0.890546762,29197784
147,2023-01-28 11:00:00+00:00,cosmos,175,0.211406971,13846902,6.5953547,204112000000000.0,1876360000000.0,0.146947782,327,326273000000000.0,502,0.435274658,29199436
148,2023-01-28 12:00:00+00:00,cosmos,175,0.211419436,13847461,6.5954444,204115000000000.0,1876980000000.0,0.146956373,327,326279000000000.0,502,0.306070396,29200856
149,2023-01-28 13:00:00+00:00,cosmos,175,0.211435019,13848019,6.5985113,204116000000000.0,1877600000000.0,0.146964873,327,326285000000000.0,502,0.47976423,29202400
150,2023-01-28 14:00:00+00:00,cosmos,175,0.211450629,13848580,6.5952548,204117000000000.0,1878220000000.0,0.146973482,327,326292000000000.0,502,0.401613438,29204145
151,2023-01-28 15:00:00+00:00,cosmos,175,0.211464169,13849143,6.5800763,204119000000000.0,1878840000000.0,0.146982091,327,326298000000000.0,502,0.348942704,29205577
152,2023-01-28 16:00:00+00:00,cosmos,175,0.211473636,13849693,6.574966,204126000000000.0,1879450000000.0,0.146990518,327,326304000000000.0,502,0.446642208,29207121
153,2023-01-28 17:00:00+00:00,cosmos,175,0.211476114,13850241,6.5708964,204139000000000.0,1880060000000.0,0.146998865,327,326310000000000.0,502,0.619621343,29208848
154,2023-01-28 18:00:00+00:00,cosmos,175,0.211500109,13850785,6.5685827,204131000000000.0,1880660000000.0,0.147007182,327,326316000000000.0,502,0.498307473,29212062
