chainName,fig1,fig2,corr,p_values
juno,inflation,capBTC,0.9793806804244939,0.0
juno,inflation,priceBTC,0.9819217145018424,0.0
juno,inflation,totalVolumeBTC,0.7422332071895018,0.0
juno,capBTC,cap,0.9588294011978545,0.0
juno,capBTC,high24h,0.9687359791107145,0.0
juno,capBTC,low24h,0.9655979270819044,0.0
juno,capBTC,price,0.9669456652049775,0.0
juno,capBTC,priceChangePercentage14d,0.5078758649906154,2.36687160226123e-160
juno,capBTC,priceChangePercentage30D,0.7261147793725424,0.0
juno,capBTC,supplyCirculating,-0.951042030552423,0.0
juno,capBTC,totalVolume,0.7008070445259046,0.0
juno,capBTC,apr,0.9191597728046035,0.0
juno,capBTC,bondedTokens,-0.914572523490781,0.0
juno,capBTC,communityTokens,0.7170756510312964,0.0
juno,capBTC,inflation,0.9793806804244939,0.0
juno,capBTC,priceBTC,0.9996944213282408,0.0
juno,capBTC,totalVolumeBTC,0.7673379552447898,0.0
juno,priceBTC,cap,0.9584576290528802,0.0
juno,priceBTC,high24h,0.9693233379957951,0.0
juno,priceBTC,low24h,0.9656354341989651,0.0
juno,priceBTC,price,0.9673593354521972,0.0
juno,priceBTC,priceChangePercentage14d,0.5103864920798717,3.489719130842375e-162
juno,priceBTC,priceChangePercentage30D,0.7265179032826554,0.0
juno,priceBTC,supplyCirculating,-0.9544238476212981,0.0
juno,priceBTC,totalVolume,0.7034000569029698,0.0
juno,priceBTC,apr,0.9222339769467098,0.0
juno,priceBTC,bondedTokens,-0.9174779828847167,0.0
juno,priceBTC,communityTokens,0.7228961097076287,0.0
juno,priceBTC,inflation,0.9819217145018424,0.0
juno,priceBTC,capBTC,0.9996944213282408,0.0
juno,priceBTC,totalVolumeBTC,0.7695147523905006,0.0
juno,priceChangePercentage1HBTC,priceChangePercentage1H,0.7187161311017015,0.0
juno,totalVolumeBTC,cap,0.730198240376548,0.0
juno,totalVolumeBTC,high24h,0.7488050203868006,0.0
juno,totalVolumeBTC,low24h,0.713002972499968,0.0
juno,totalVolumeBTC,price,0.7400283293090105,0.0
juno,totalVolumeBTC,priceChangePercentage30D,0.6254055194820285,2.643152852907634e-265
juno,totalVolumeBTC,supplyCirculating,-0.7225426766618331,0.0
juno,totalVolumeBTC,totalVolume,0.9786795490184464,0.0
juno,totalVolumeBTC,apr,0.6896744001055194,0.0
juno,totalVolumeBTC,bondedTokens,-0.6845714374162086,0.0
juno,totalVolumeBTC,communityTokens,0.5334027877419828,1.0421813617355792e-179
juno,totalVolumeBTC,inflation,0.7422332071895018,0.0
juno,totalVolumeBTC,capBTC,0.7673379552447898,0.0
juno,totalVolumeBTC,priceBTC,0.7695147523905006,0.0
kava,cap,high24h,0.5909320599747236,4.2464001900982515e-231
kava,cap,low24h,0.5985759309659218,1.3429126524886933e-238
kava,cap,price,0.638534301793299,2.5154147175135056e-281
kava,cap,priceChangePercentage14d,0.6222640172306673,3.534892217187562e-263
kava,cap,priceChangePercentage7d,0.7301671410754271,0.0
kava,capChange24h,capChangeRatio24H,0.9964479904341181,0.0
kava,capChange24h,change24h,0.989820127439312,0.0
kava,capChange24h,changeRatio24H,0.9891849769840428,0.0
kava,capChange24h,priceChangePercentage24H,0.9891849789926401,0.0
kava,capChangeRatio24H,capChange24h,0.9964479904341181,0.0
kava,capChangeRatio24H,change24h,0.9879588736917224,0.0
kava,capChangeRatio24H,changeRatio24H,0.99268896640498,0.0
kava,capChangeRatio24H,priceChangePercentage24H,0.9926889655421881,0.0
kava,change24h,capChange24h,0.989820127439312,0.0
kava,change24h,capChangeRatio24H,0.9879588736917224,0.0
kava,change24h,changeRatio24H,0.995600459852198,0.0
kava,change24h,priceChangePercentage24H,0.9956004630403211,0.0
kava,changeRatio24H,capChange24h,0.9891849769840428,0.0
kava,changeRatio24H,capChangeRatio24H,0.99268896640498,0.0
kava,changeRatio24H,change24h,0.995600459852198,0.0
kava,changeRatio24H,priceChangePercentage24H,0.9999999999997867,0.0
kava,high24h,cap,0.5909320599747236,4.2464001900982515e-231
kava,high24h,low24h,0.948869713193198,0.0
kava,high24h,price,0.9515333030515482,0.0
kava,high24h,priceChangePercentage14d,0.7566874707884899,0.0
kava,high24h,priceChangePercentage1Y,0.7838265316327018,0.0
kava,high24h,priceChangePercentage30D,0.6593169812013311,3.622033116657027e-306
kava,high24h,priceChangePercentage7d,0.606935713298511,4.901778874808703e-247
kava,high24h,supplyCirculating,-0.5763997228508637,2.215998437433984e-217
kava,high24h,totalVolume,0.6201449786989023,6.814336541529851e-261
kava,high24h,bondedTokens,-0.5499497612749297,4.1256452605481446e-194
kava,high24h,communityTokens,-0.5880816152981176,2.3642529304927697e-228
kava,high24h,capBTC,0.747973462514768,0.0
kava,high24h,priceBTC,0.7333266638506647,0.0
kava,high24h,totalVolumeBTC,0.5785464181554654,2.30448439383961e-219
kava,low24h,cap,0.5985759309659218,1.3429126524886933e-238
kava,low24h,high24h,0.948869713193198,0.0
kava,low24h,price,0.9566342643131897,0.0
kava,low24h,priceChangePercentage14d,0.7434952364578711,0.0
kava,low24h,priceChangePercentage1Y,0.7511600775937873,0.0
kava,low24h,priceChangePercentage30D,0.6700894464634529,7.655e-320
kava,low24h,priceChangePercentage7d,0.5934486539780787,1.5171501496910896e-233
kava,low24h,supplyCirculating,-0.5748466110918609,5.903333866309203e-216
kava,low24h,bondedTokens,-0.6088248811301945,5.604948138599537e-249
kava,low24h,communityTokens,-0.601257894892855,2.8073501730646517e-241
kava,low24h,capBTC,0.6827359267170012,0.0
kava,low24h,priceBTC,0.6922333889728757,0.0
kava,price,cap,0.638534301793299,2.5154147175135056e-281
kava,price,high24h,0.9515333030515482,0.0
kava,price,low24h,0.9566342643131897,0.0
kava,price,priceChangePercentage14d,0.7651416644204758,0.0
kava,price,priceChangePercentage1Y,0.7988820959443795,0.0
kava,price,priceChangePercentage30D,0.688186705727583,0.0
kava,price,priceChangePercentage7d,0.6618101427623208,2.78374818402986e-309
kava,price,supplyCirculating,-0.5843709728556148,8.076591142525802e-225
kava,price,totalVolume,0.5650904684236877,3.576568463932297e-207
kava,price,bondedTokens,-0.5740269174228335,3.3142006885337665e-215
kava,price,communityTokens,-0.6054952789838324,1.4525767994928565e-245
kava,price,capBTC,0.76910821173202,0.0
kava,price,priceBTC,0.7512700432547326,0.0
kava,price,totalVolumeBTC,0.5252067315146552,3.7303944487472236e-174
kava,priceChangePercentage14d,cap,0.6222640172306673,3.534892217187562e-263
kava,priceChangePercentage14d,high24h,0.7566874707884899,0.0
kava,priceChangePercentage14d,low24h,0.7434952364578711,0.0
kava,priceChangePercentage14d,price,0.7651416644204758,0.0
kava,priceChangePercentage14d,priceChangePercentage1Y,0.6465225970145787,1.2079981498023967e-290
kava,priceChangePercentage14d,priceChangePercentage7d,0.5356857946981144,2.101036908561366e-182
kava,priceChangePercentage14d,totalVolume,0.5378744592010609,3.651763430846148e-184
kava,priceChangePercentage14d,capBTC,0.5562905357089154,1.6869886737958822e-199
kava,priceChangePercentage1H,priceChangePercentage1HBTC,0.8304745806181096,0.0
kava,priceChangePercentage1Y,high24h,0.7838265316327018,0.0
kava,priceChangePercentage1Y,low24h,0.7511600775937873,0.0
kava,priceChangePercentage1Y,price,0.7988820959443795,0.0
kava,priceChangePercentage1Y,priceChangePercentage14d,0.6465225970145787,1.2079981498023967e-290
kava,priceChangePercentage1Y,priceChangePercentage30D,0.5064966944015198,3.98292153225196e-160
kava,priceChangePercentage1Y,supplyCirculating,-0.7698449518171051,0.0
kava,priceChangePercentage1Y,totalVolume,0.5985023197463728,1.589426850093022e-238
